seed,method,client_id,mse,rmse,mae,mape,dropout_rate
42,FedAvg,0,13.672198295593262,3.697593581722207,3.114872694015503,4.035981371998787,0.0
42,FedAvg,1,29.547073364257812,5.435721972678313,4.431417942047119,7.3132045567035675,0.0
42,FedAvg,2,102.05097961425781,10.102028490073556,8.532718658447266,9.412655979394913,0.0
42,FedAvg,3,27.408842086791992,5.235345460119322,4.269153594970703,6.002151966094971,0.0
42,FedAvg,4,206.5743865966797,14.372695870875432,11.273478507995605,128.3191442489624,0.0
42,Proposed,0,12.133251190185547,3.483281669659453,2.9084665775299072,3.7665367126464844,0.0
42,Proposed,1,27.66074562072754,5.25934840267571,4.271993160247803,7.036883383989334,0.0
42,Proposed,2,99.9347915649414,9.996739046556202,8.402420997619629,9.25147756934166,0.0
42,Proposed,3,25.711355209350586,5.070636568454752,4.124944686889648,5.787132307887077,0.0
42,Proposed,4,197.13650512695312,14.04053079933067,10.879768371582031,126.3224720954895,0.0
42,FedAvg,0,8.712824821472168,2.9517494509988764,2.442913055419922,3.1475096940994263,0.2
42,FedAvg,1,20.907947540283203,4.572520917424348,3.7326340675354004,6.033644452691078,0.2
42,FedAvg,2,90.68096923828125,9.522655577005883,7.857022285461426,8.518588542938232,0.2
42,FedAvg,3,18.194835662841797,4.265540488946482,3.4161674976348877,4.716898500919342,0.2
42,FedAvg,4,176.00991821289062,13.266872962868478,9.857739448547363,112.70774602890015,0.2
42,Proposed,0,8.00352954864502,2.8290509978869274,2.3345515727996826,3.0022379010915756,0.2
42,Proposed,1,20.229873657226562,4.49776318376441,3.669985771179199,5.9075988829135895,0.2
42,Proposed,2,90.1084976196289,9.492549584786424,7.7958984375,8.435580879449844,0.2
42,Proposed,3,17.425432205200195,4.174378062083044,3.3173789978027344,4.569588974118233,0.2
42,Proposed,4,171.70603942871094,13.103665114337703,9.7498140335083,112.16397285461426,0.2
42,FedAvg,0,9.772979736328125,3.1261765363344605,2.5888476371765137,3.3327165991067886,0.4
42,FedAvg,1,21.32961654663086,4.618399782027414,3.7640292644500732,6.0690149664878845,0.4
42,FedAvg,2,90.7723159790039,9.527450654766149,7.8350114822387695,8.460041880607605,0.4
42,FedAvg,3,21.596158981323242,4.647166769260949,3.703075885772705,5.087268725037575,0.4
42,FedAvg,4,228.42138671875,15.113615937913401,11.472167015075684,115.18703699111938,0.4
42,Proposed,0,8.743289947509766,2.9569054681389066,2.4423139095306396,3.1342491507530212,0.4
42,Proposed,1,20.386106491088867,4.515097617005513,3.6818106174468994,5.894114077091217,0.4
42,Proposed,2,89.72351837158203,9.472249910743594,7.729905128479004,8.312654495239258,0.4
42,Proposed,3,21.11384391784668,4.594980295697326,3.6399877071380615,4.974186420440674,0.4
42,Proposed,4,227.51596069335938,15.083632211551679,11.329878807067871,113.97738456726074,0.4
2024,FedAvg,0,13.576773643493652,3.6846673721645016,3.0551440715789795,3.8197211921215057,0.0
2024,FedAvg,1,39.44704818725586,6.280688512197995,4.902861595153809,8.086804300546646,0.0
2024,FedAvg,2,81.3387451171875,9.018799538585359,7.392249584197998,8.173807710409164,0.0
2024,FedAvg,3,23.6643123626709,4.86459786237988,3.971252202987671,5.087332054972649,0.0
2024,FedAvg,4,153.88641357421875,12.405096274282547,8.187714576721191,134.64889526367188,0.0
2024,Proposed,0,13.010976791381836,3.6070731613569795,2.985966920852661,3.7335220724344254,0.0
2024,Proposed,1,39.08919143676758,6.252134950300383,4.88008451461792,8.04867148399353,0.0
2024,Proposed,2,80.94782257080078,8.997100786964698,7.374139308929443,8.15349668264389,0.0
2024,Proposed,3,23.595439910888672,4.857513758178012,3.9625632762908936,5.082042142748833,0.0
2024,Proposed,4,149.35556030273438,12.221111254821894,7.972158908843994,133.47214460372925,0.0
2024,FedAvg,0,14.844889640808105,3.8529066483381227,3.2001256942749023,3.999480977654457,0.2
2024,FedAvg,1,40.050079345703125,6.328513201827356,4.938924312591553,8.137413114309311,0.2
2024,FedAvg,2,82.74391174316406,9.09636805231429,7.466206073760986,8.257653564214706,0.2
2024,FedAvg,3,23.69839859008789,4.8681001006643125,3.977174997329712,5.078474804759026,0.2
2024,FedAvg,4,166.3482666015625,12.897607010665292,8.748290061950684,138.52962255477905,0.2
2024,Proposed,0,13.788285255432129,3.7132580378196356,3.0656750202178955,3.8316376507282257,0.2
2024,Proposed,1,39.01301193237305,6.246039699871675,4.851436138153076,7.97262117266655,0.2
2024,Proposed,2,81.664794921875,9.036857580037156,7.3814826011657715,8.145568519830704,0.2
2024,Proposed,3,23.24933624267578,4.821756551577006,3.9155266284942627,4.992092028260231,0.2
2024,Proposed,4,161.6033172607422,12.712329340476598,8.523538589477539,135.59807538986206,0.2
2024,FedAvg,0,13.588521003723145,3.6862611144251765,3.1563615798950195,3.9418980479240417,0.4
2024,FedAvg,1,39.682289123535156,6.299387995951286,4.922842025756836,8.190310001373291,0.4
2024,FedAvg,2,76.8576431274414,8.766849099159938,7.1956353187561035,7.935932278633118,0.4
2024,FedAvg,3,33.28462219238281,5.769282641055369,4.541217803955078,5.733500421047211,0.4
2024,FedAvg,4,111.17633819580078,10.544019072241893,7.472021579742432,114.841628074646,0.4
2024,Proposed,0,13.811179161071777,3.7163394840988055,3.202899217605591,3.9965085685253143,0.4
2024,Proposed,1,40.762046813964844,6.384516176967903,5.018369197845459,8.36552381515503,0.4
2024,Proposed,2,77.87889099121094,8.824901755329117,7.284491062164307,8.056651055812836,0.4
2024,Proposed,3,33.9040641784668,5.822719654806232,4.652824401855469,5.910107865929604,0.4
2024,Proposed,4,109.72376251220703,10.474911098057445,7.169862747192383,114.63987827301025,0.4
2025,FedAvg,0,10.551528930664062,3.248311704665065,2.696566343307495,3.5661503672599792,0.0
2025,FedAvg,1,21.391218185424805,4.625064127709453,3.642197608947754,5.734790489077568,0.0
2025,FedAvg,2,98.1728744506836,9.908222567680017,7.997567176818848,8.562827110290527,0.0
2025,FedAvg,3,29.492090225219727,5.430662042994364,4.173541069030762,5.935944989323616,0.0
2025,FedAvg,4,424.8498840332031,20.611886959548443,18.339733123779297,651.816987991333,0.0
2025,Proposed,0,9.754100799560547,3.1231555836302083,2.5760369300842285,3.4025926142930984,0.0
2025,Proposed,1,21.01951789855957,4.584704777688479,3.579955577850342,5.612340569496155,0.0
2025,Proposed,2,97.71705627441406,9.885193790432945,7.928874969482422,8.465007692575455,0.0
2025,Proposed,3,29.32146453857422,5.414929781499869,4.137980937957764,5.8719635009765625,0.0
2025,Proposed,4,418.7883605957031,20.464319206748684,18.18134307861328,629.5534133911133,0.0
2025,FedAvg,0,14.1549072265625,3.7623007889538154,3.193288803100586,4.234914109110832,0.2
2025,FedAvg,1,23.8194522857666,4.880517624777786,3.9097580909729004,6.2347885221242905,0.2
2025,FedAvg,2,100.33515930175781,10.016743947099666,8.208745002746582,8.86688083410263,0.2
2025,FedAvg,3,30.727901458740234,5.543275336724691,4.306102275848389,6.1626628041267395,0.2
2025,FedAvg,4,474.833740234375,21.790680123263133,19.693653106689453,744.163990020752,0.2
2025,Proposed,0,12.514840126037598,3.53763199415055,2.9806325435638428,3.9494074881076813,0.2
2025,Proposed,1,22.583003997802734,4.752157825430752,3.794127941131592,6.02099746465683,0.2
2025,Proposed,2,98.90676879882812,9.945188223398697,8.099328994750977,8.717774599790573,0.2
2025,Proposed,3,29.602977752685547,5.440861857526393,4.192634105682373,5.981949716806412,0.2
2025,Proposed,4,463.7823791503906,21.53560723895174,19.3709659576416,712.3086452484131,0.2
2025,FedAvg,0,16.723886489868164,4.089484868521727,3.4989264011383057,4.645225405693054,0.4
2025,FedAvg,1,27.611148834228516,5.254631179657475,4.256730079650879,6.835467368364334,0.4
2025,FedAvg,2,103.6668472290039,10.181691766548617,8.47578239440918,9.223978966474533,0.4
2025,FedAvg,3,33.619720458984375,5.798251500149366,4.782223701477051,6.860937923192978,0.4
2025,FedAvg,4,493.7469482421875,22.220417373267036,19.87247085571289,798.2353687286377,0.4
2025,Proposed,0,15.625033378601074,3.9528512973043997,3.368115186691284,4.470186308026314,0.4
2025,Proposed,1,26.509410858154297,5.148729052703618,4.160948753356934,6.670204550027847,0.4
2025,Proposed,2,102.69610595703125,10.133908720579205,8.408695220947266,9.135360270738602,0.4
2025,Proposed,3,33.195220947265625,5.7615293930748654,4.7173895835876465,6.767090409994125,0.4
2025,Proposed,4,480.0303955078125,21.909595968611846,19.569515228271484,777.4895668029785,0.4
