seed,method,client_id,mse,rmse,mae,mape,r2,final_loss,best_loss,communication_rounds,convergence_round,delay_rounds,experiment,scenario_type,scenario,dropout_rate,noise_std
42,FedAvg,0,13.672198295593262,3.697593581722207,3.114872694015503,4.035981371998787,-0.16214633893781016,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,FedAvg,1,29.547073364257812,5.435721972678313,4.431417942047119,7.3132045567035675,-0.06161828613958975,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,FedAvg,2,102.05097961425781,10.102028490073556,8.532718658447266,9.412655979394913,-0.03393394340407596,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,FedAvg,3,27.408842086791992,5.235345460119322,4.269153594970703,6.002151966094971,0.5829467467329096,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,FedAvg,4,206.5743865966797,14.372695870875432,11.273478507995605,128.3191442489624,-0.12718383161316638,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,Proposed,0,12.133251190185547,3.483281669659453,2.9084665775299072,3.7665367126464844,-0.03133466690759645,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,Proposed,1,27.66074562072754,5.25934840267571,4.271993160247803,7.036883383989334,0.0061570328683734354,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,Proposed,2,99.9347915649414,9.996739046556202,8.402420997619629,9.25147756934166,-0.012493644791714553,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,Proposed,3,25.711355209350586,5.070636568454752,4.124944686889648,5.787132307887077,0.6087757643184337,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,Proposed,4,197.13650512695312,14.04053079933067,10.879768371582031,126.3224720954895,-0.07568567024748374,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
42,FedAvg,0,11.793644905090332,3.434187663056626,2.816495180130005,3.6278877407312393,-0.0024679478193356807,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,FedAvg,1,24.89122200012207,4.989110341546083,4.057683944702148,6.633864343166351,0.105665227702466,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,FedAvg,2,103.93034362792969,10.194623270524993,8.613438606262207,9.415807574987411,-0.05297485238014077,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,FedAvg,3,31.470916748046875,5.60989453983289,4.361222743988037,6.028800830245018,0.5211381663206981,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,FedAvg,4,314.6849060058594,17.73936036067421,14.63947868347168,136.83078289031982,-0.7170943874536648,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,Proposed,0,11.520278930664062,3.394153639814212,2.770585775375366,3.5658255219459534,0.020768390963596284,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,Proposed,1,24.40243148803711,4.939881728142599,4.020386219024658,6.564232707023621,0.1232273506667737,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,Proposed,2,104.35211944580078,10.215288515054324,8.619464874267578,9.41442996263504,-0.05724803488400809,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,Proposed,3,32.32139587402344,5.685190926787194,4.379518985748291,6.038426607847214,0.5081973751560243,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,Proposed,4,329.2370300292969,18.144889915050378,14.990575790405273,137.71750926971436,-0.7964989351721157,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
42,FedAvg,0,11.206907272338867,3.347671918264821,2.76992130279541,3.5733576864004135,0.04740508603385074,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,FedAvg,1,24.154396057128906,4.914712204913824,3.998203992843628,6.531038135290146,0.13213931168249327,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,FedAvg,2,98.3929443359375,9.919321767940461,8.333971977233887,9.10000205039978,0.0031275472968443907,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,FedAvg,3,24.29583168029785,4.929080206316169,3.9323136806488037,5.467827245593071,0.6303144050678923,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,FedAvg,4,236.59185791015625,15.381542767556065,12.293719291687012,126.73724889755249,-0.2909757191235971,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,Proposed,0,10.371554374694824,3.220489772487226,2.6577675342559814,3.425964340567589,0.11841065450548427,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,Proposed,1,23.34503936767578,4.831670453132724,3.9324581623077393,6.411122530698776,0.16121920170429493,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,Proposed,2,97.42879486083984,9.870602558144048,8.272703170776367,9.02412086725235,0.012895975670485504,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,Proposed,3,23.521116256713867,4.849857343954961,3.8640358448028564,5.364652723073959,0.6421024582722346,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
42,Proposed,4,228.2030792236328,15.106391998873617,11.980692863464355,125.47142505645752,-0.24520180596799657,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,FedAvg,0,13.576773643493652,3.6846673721645016,3.0551440715789795,3.8197211921215057,-0.3092033070073532,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,FedAvg,1,39.44704818725586,6.280688512197995,4.902861595153809,8.086804300546646,0.04822493111259085,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,FedAvg,2,81.3387451171875,9.018799538585359,7.392249584197998,8.173807710409164,0.055281001528984186,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,FedAvg,3,23.6643123626709,4.86459786237988,3.971252202987671,5.087332054972649,0.6782159627571845,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,FedAvg,4,153.88641357421875,12.405096274282547,8.187714576721191,134.64889526367188,0.23228062184909237,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,Proposed,0,13.010976791381836,3.6070731613569795,2.985966920852661,3.7335220724344254,-0.25464367497368534,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,Proposed,1,39.08919143676758,6.252134950300383,4.88008451461792,8.04867148399353,0.05685931214924722,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,Proposed,2,80.94782257080078,8.997100786964698,7.374139308929443,8.15349668264389,0.059821461603573045,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,Proposed,3,23.595439910888672,4.857513758178012,3.9625632762908936,5.082042142748833,0.6791524640073456,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,Proposed,4,149.35556030273438,12.221111254821894,7.972158908843994,133.47214460372925,0.2548844784983696,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
2024,FedAvg,0,13.791083335876465,3.713634787627408,3.0879368782043457,3.858199715614319,-0.32986893746546264,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,FedAvg,1,40.012813568115234,6.325568240728672,4.951179504394531,8.174574375152588,0.034574203217012545,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,FedAvg,2,83.81928253173828,9.15528713540642,7.560519695281982,8.389803022146225,0.026470527106431607,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,FedAvg,3,24.87343406677246,4.987327347064002,4.0831298828125,5.244339630007744,0.6617744851632865,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,FedAvg,4,164.21633911132812,12.814692314344818,8.824270248413086,137.76113986968994,0.1807459415119319,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,Proposed,0,12.767162322998047,3.573116612006673,2.951012134552002,3.68780680000782,-0.23113274553811491,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,Proposed,1,38.85328674316406,6.233240468902516,4.855239391326904,7.99458771944046,0.06255111805908875,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,Proposed,2,82.27681732177734,9.070656939923223,7.44870662689209,8.243539184331894,0.04438560533306979,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,Proposed,3,24.15020179748535,4.914285481887001,4.001153469085693,5.127826705574989,0.6716088602448362,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,Proposed,4,157.20065307617188,12.537968458892049,8.506498336791992,134.17859077453613,0.21574634207466792,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
2024,FedAvg,0,12.921573638916016,3.594659043486046,2.9646174907684326,3.704437240958214,-0.24602252833079308,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,FedAvg,1,38.60000228881836,6.212890011002799,4.821848392486572,7.925859838724136,0.06866236379267965,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,FedAvg,2,81.50679779052734,9.028111529579558,7.389111518859863,8.159829676151276,0.05332909337128389,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,FedAvg,3,23.368858337402344,4.834134704101898,3.9399330615997314,5.028275772929192,0.6822334835137414,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,FedAvg,4,161.9280242919922,12.725094274385247,8.741930961608887,133.62667560577393,0.1921620991446381,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,Proposed,0,11.675156593322754,3.4168928273100336,2.795997381210327,3.492928668856621,-0.125830955700716,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,Proposed,1,37.41937255859375,6.117137611546249,4.715165138244629,7.721538096666336,0.09714842311030247,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,Proposed,2,80.48461151123047,8.971321614524276,7.310722827911377,8.049823343753815,0.06520128018536486,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,Proposed,3,22.930309295654297,4.788560252900061,3.8713912963867188,4.931201413273811,0.6881967985821915,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
2024,Proposed,4,158.235595703125,12.579173092978927,8.622718811035156,129.9845576286316,0.21058317696639717,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,FedAvg,0,10.097113609313965,3.1775955704453587,2.6213927268981934,3.2933395355939865,0.24808000054638224,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,FedAvg,1,24.80137062072754,4.980097450926793,3.7397823333740234,5.949940159916878,0.1707553223877306,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,FedAvg,2,90.96150207519531,9.53737396116957,7.164803504943848,7.803582400083542,0.15011917181234624,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,FedAvg,3,22.635452270507812,4.757672989026023,3.559231758117676,5.493774637579918,0.6526933154253358,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,FedAvg,4,188.60614013671875,13.73339506956378,9.455370903015137,301.08819007873535,0.3598770164068944,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,Proposed,0,9.75207233428955,3.122830820632067,2.577327251434326,3.2359417527914047,0.2737747050408308,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,Proposed,1,24.31705665588379,4.931232772429607,3.6863059997558594,5.852502956986427,0.186948596921522,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,Proposed,2,90.79988098144531,9.528897154521362,7.145196437835693,7.775644212961197,0.1516293177161684,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,Proposed,3,22.04456329345703,4.695163819661357,3.496551752090454,5.391417443752289,0.6617595883109958,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,Proposed,4,185.76217651367188,13.629459876079899,9.46415901184082,296.1535692214966,0.3695292876553099,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
3407,FedAvg,0,10.5732421875,3.251652224254617,2.679553747177124,3.36746945977211,0.21262322591066474,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,FedAvg,1,25.30478286743164,5.03038595611029,3.7964560985565186,6.047738716006279,0.1539235553803211,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,FedAvg,2,91.27293395996094,9.5536869301836,7.177003860473633,7.823483645915985,0.1472095238240625,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,FedAvg,3,25.03620719909668,5.003619409896868,3.7371609210968018,5.774360150098801,0.6158573310409056,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,FedAvg,4,197.7037811279297,14.060717660486953,9.717020988464355,307.87718296051025,0.32899997710829376,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,Proposed,0,9.875055313110352,3.1424600734313795,2.5865328311920166,3.247007727622986,0.2646163052226508,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,Proposed,1,24.38137435913086,4.937749928776351,3.6876301765441895,5.852226540446281,0.1847981020153865,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,Proposed,2,90.40557098388672,9.508184421007341,7.103254318237305,7.724229991436005,0.15531340607978483,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,Proposed,3,24.07221794128418,4.906344661892821,3.6367857456207275,5.603808909654617,0.6306483183187424,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,Proposed,4,194.9307098388672,13.961758837584439,9.622603416442871,301.86123847961426,0.33841161273695874,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
3407,FedAvg,0,10.776784896850586,3.282801379439607,2.7121338844299316,3.403560072183609,0.1974657594178345,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,FedAvg,1,24.72074317932129,4.971995894942119,3.724332571029663,5.916346237063408,0.17345111676623592,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,FedAvg,2,91.3871841430664,9.559664436739734,7.151763916015625,7.784559577703476,0.1461419416146018,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,FedAvg,3,27.43918228149414,5.238242289307945,3.8728439807891846,5.95063753426075,0.57898736231603,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,FedAvg,4,202.52200317382812,14.231022562480467,10.156460762023926,305.9309720993042,0.31264685248466584,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,Proposed,0,10.075569152832031,3.174203703739259,2.6165390014648438,3.2804355025291443,0.249684372065336,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,Proposed,1,23.90861701965332,4.8896438540709,3.6220617294311523,5.73025643825531,0.20060478174978025,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,Proposed,2,90.57990264892578,9.517347458663354,7.08815336227417,7.696036994457245,0.15368467778036188,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,Proposed,3,26.262012481689453,5.124647547069891,3.765866994857788,5.770903080701828,0.5970492827986564,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
3407,Proposed,4,197.4536895751953,14.051821574984338,9.940034866333008,299.1729736328125,0.3298486667651491,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,FedAvg,0,12.999369621276855,3.6054638566038704,2.9220242500305176,3.849337622523308,0.15973592015614368,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,FedAvg,1,22.04550552368164,4.695264159094953,3.5042407512664795,5.54027333855629,0.20309955777401179,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,FedAvg,2,89.48079681396484,9.459428989847371,8.187713623046875,9.135271608829498,-0.0014952668265608704,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,FedAvg,3,26.72935676574707,5.170044174448326,4.0389604568481445,5.84835559129715,0.6427681818841358,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,FedAvg,4,386.05859375,19.64837381947931,16.181209564208984,525.058650970459,0.1262871227071214,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,Proposed,0,12.127812385559082,3.482500880912894,2.8284265995025635,3.7209972739219666,0.21607237194629725,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,Proposed,1,21.23061180114746,4.607668803326413,3.4245505332946777,5.393456667661667,0.23255629741659134,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,Proposed,2,88.7367172241211,9.420016837783312,8.134212493896484,9.058031439781189,0.006832724365301024,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,Proposed,3,26.24905776977539,5.123383429900147,3.9873740673065186,5.7686228305101395,0.6491872574757731,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,Proposed,4,391.1947326660156,19.778643347459795,16.187009811401367,506.2571048736572,0.11466337025333762,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
1234,FedAvg,0,18.337726593017578,4.282257184361721,3.5403153896331787,4.673144966363907,-0.18532916416613632,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,FedAvg,1,27.608625411987305,5.254391060055133,4.054685592651367,6.491410732269287,0.002003974264133568,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,FedAvg,2,95.48467254638672,9.771625890627758,8.532872200012207,9.588506817817688,-0.06869233174584477,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,FedAvg,3,31.548015594482422,5.616762020460047,4.349184513092041,6.370396912097931,0.5783678769264262,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,FedAvg,4,377.3957824707031,19.426677082576504,16.513547897338867,600.4271030426025,0.14589260212792132,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,Proposed,0,17.2653865814209,4.155163845315958,3.4160590171813965,4.509568959474564,-0.11601434239332398,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,Proposed,1,26.48948860168457,5.146794011973334,3.941889524459839,6.3040368258953094,0.04245861630287573,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,Proposed,2,94.75601959228516,9.734270367741239,8.494054794311523,9.537062048912048,-0.06053728568963468,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,Proposed,3,30.719074249267578,5.542479070710829,4.284545421600342,6.272472441196442,0.5894465328754137,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,Proposed,4,374.4283752441406,19.350151814498528,16.37717056274414,585.2748394012451,0.1526081902912283,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
1234,FedAvg,0,16.134366989135742,4.016760758264766,3.2803661823272705,4.328668117523193,-0.04290662383333643,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,FedAvg,1,26.2254581451416,5.1210797831259764,3.892261028289795,6.22158944606781,0.0520027616376012,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,FedAvg,2,96.68216705322266,9.832709039385975,8.596210479736328,9.675155580043793,-0.08209502459426643,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,FedAvg,3,30.923702239990234,5.560908400611382,4.3567328453063965,6.344281882047653,0.5867117094272827,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,FedAvg,4,377.3097839355469,19.424463543056905,16.181676864624023,585.8022212982178,0.1460871638923278,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,Proposed,0,15.49878978729248,3.936850236838135,3.2049009799957275,4.228749498724937,-0.0018237049994129784,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,Proposed,1,25.57162094116211,5.056839026621483,3.830869436264038,6.118928641080856,0.07563754837241887,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,Proposed,2,96.607177734375,9.828895041375455,8.592982292175293,9.669650346040726,-0.08125575085088577,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,Proposed,3,30.32747459411621,5.507038641058932,4.300223350524902,6.269313395023346,0.5946801264602548,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
1234,Proposed,4,375.2042236328125,19.3701890448393,16.1002254486084,574.4365692138672,0.15085236137520908,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,FedAvg,0,8.913459777832031,2.98554178966432,2.4421563148498535,3.3104300498962402,0.23720352634351638,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,FedAvg,1,19.520030975341797,4.4181479123431115,3.5794641971588135,5.869688093662262,0.17565228017029044,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,FedAvg,2,97.69287109375,9.883970411416152,7.536365032196045,8.04276391863823,0.16953722691028505,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,FedAvg,3,30.12337875366211,5.488476906543573,4.177768230438232,5.5892013013362885,0.6251134806733837,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,FedAvg,4,268.570556640625,16.388122425727268,13.95822811126709,50.194090604782104,-0.15597820571783982,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,Proposed,0,8.500046730041504,2.915483961547637,2.3722827434539795,3.2130934298038483,0.2725827459286233,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,Proposed,1,19.368234634399414,4.40093565442616,3.5632779598236084,5.824099108576775,0.18206276689472722,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,Proposed,2,97.65116119384766,9.881860209183676,7.488141059875488,7.967633008956909,0.16989175475635154,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,Proposed,3,29.906187057495117,5.4686549587165505,4.156822681427002,5.55034875869751,0.6278164469566934,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,Proposed,4,267.91046142578125,16.367970595824676,13.904328346252441,49.352189898490906,-0.15313716364513597,,,3,3,0,fed_robustness,communication_delay,communication_delay@0,,
5678,FedAvg,0,10.421455383300781,3.2282279013881254,2.679455518722534,3.6460626870393753,0.10815230931265052,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,FedAvg,1,20.150279998779297,4.488906325462729,3.6939892768859863,6.110516935586929,0.1490362537289276,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,FedAvg,2,97.87242889404297,9.893049524491575,7.619521141052246,8.168777078390121,0.16801086621489247,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,FedAvg,3,29.997236251831055,5.476973274704839,4.177526473999023,5.62114380300045,0.6266833447929812,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,FedAvg,4,261.0084533691406,16.155756044492026,13.845405578613281,51.46836042404175,-0.12342947136904381,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,Proposed,0,9.935855865478516,3.152119265744638,2.607664108276367,3.5447273403406143,0.14970890207520882,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,Proposed,1,19.847583770751953,4.455062712325378,3.650729179382324,6.020204722881317,0.16181942256424964,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,Proposed,2,97.65350341796875,9.88197871976907,7.57133674621582,8.098679780960083,0.16987191755193876,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,Proposed,3,30.223827362060547,5.497620154399588,4.186406135559082,5.619848892092705,0.6238633910382614,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,Proposed,4,263.0140075683594,16.21770660631026,13.879315376281738,50.957703590393066,-0.1320618526505717,,,3,3,1,fed_robustness,communication_delay,communication_delay@1,,
5678,FedAvg,0,11.376239776611328,3.3728681825134124,2.820688486099243,3.8413185626268387,0.026443724965964477,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,FedAvg,1,21.207576751708984,4.605168482445456,3.7897045612335205,6.303615123033524,0.10438571033717281,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,FedAvg,2,98.74331665039062,9.936967175672395,7.718935966491699,8.310174196958542,0.16060770287491888,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,FedAvg,3,30.826709747314453,5.552180629925007,4.251580238342285,5.745688825845718,0.6163605185595074,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,FedAvg,4,262.5197448730469,16.202461074572803,13.871421813964844,52.55036950111389,-0.12993437271943953,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,Proposed,0,10.623590469360352,3.2593849832998174,2.71010684967041,3.6865785717964172,0.09085385251338307,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,Proposed,1,20.55253028869629,4.533489857570687,3.72693133354187,6.174417585134506,0.13204887936998178,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,Proposed,2,98.27996826171875,9.913625384374717,7.657262325286865,8.220375329256058,0.16454652453855378,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,Proposed,3,30.730220794677734,5.54348453544138,4.236767292022705,5.707589164376259,0.6175613076707998,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
5678,Proposed,4,264.834228515625,16.273728168911543,13.928525924682617,51.90914869308472,-0.1398964748396978,,,3,3,2,fed_robustness,communication_delay,communication_delay@2,,
